Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Chicago4Classes;0;Baseline, nGrams: 2;Percent Correct;0.911725;0
Boston;Chicago4Classes;0;Baseline, nGrams: 2;Weighted Precision;0.913379;0
Boston;Chicago4Classes;0;Baseline, nGrams: 2;Weighted Recall;0.911725;0
Boston;Chicago4Classes;0;Baseline, nGrams: 2;Weighted F-Measure;0.910170;0
Boston;Chicago4Classes;0;+ALL, nGrams: 2;Percent Correct;0.922507;0
Boston;Chicago4Classes;0;+ALL, nGrams: 2;Weighted Precision;0.919741;0
Boston;Chicago4Classes;0;+ALL, nGrams: 2;Weighted Recall;0.922507;0
Boston;Chicago4Classes;0;+ALL, nGrams: 2;Weighted F-Measure;0.918569;0
Boston;Chicago4Classes;0;+LOC, nGrams: 2;Percent Correct;0.917116;0
Boston;Chicago4Classes;0;+LOC, nGrams: 2;Weighted Precision;0.918584;0
Boston;Chicago4Classes;0;+LOC, nGrams: 2;Weighted Recall;0.917116;0
Boston;Chicago4Classes;0;+LOC, nGrams: 2;Weighted F-Measure;0.917809;0
Boston;Chicago4Classes;0;+TIME, nGrams: 2;Percent Correct;0.915094;0
Boston;Chicago4Classes;0;+TIME, nGrams: 2;Weighted Precision;0.916002;0
Boston;Chicago4Classes;0;+TIME, nGrams: 2;Weighted Recall;0.915094;0
Boston;Chicago4Classes;0;+TIME, nGrams: 2;Weighted F-Measure;0.912181;0
Boston;Chicago4Classes;0;+LOD, nGrams: 2;Percent Correct;0.908356;0
Boston;Chicago4Classes;0;+LOD, nGrams: 2;Weighted Precision;0.903635;0
Boston;Chicago4Classes;0;+LOD, nGrams: 2;Weighted Recall;0.908356;0
Boston;Chicago4Classes;0;+LOD, nGrams: 2;Weighted F-Measure;0.904301;0
Boston;Chicago4Classes;0;+LOC+TIME, nGrams: 2;Percent Correct;0.913073;0
Boston;Chicago4Classes;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.915039;0
Boston;Chicago4Classes;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.913073;0
Boston;Chicago4Classes;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.913871;0
Boston;Chicago4Classes;0;+LOC+LOD, nGrams: 2;Percent Correct;0.909704;0
Boston;Chicago4Classes;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.913174;0
Boston;Chicago4Classes;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.909704;0
Boston;Chicago4Classes;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.910844;0
Boston;Chicago4Classes;0;+TIME+LOD, nGrams: 2;Percent Correct;0.922507;0
Boston;Chicago4Classes;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.926441;0
Boston;Chicago4Classes;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.922507;0
Boston;Chicago4Classes;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.923528;0
Boston;Chicago4Classes;0;+TYPES, nGrams: 2;Percent Correct;0.911051;0
Boston;Chicago4Classes;0;+TYPES, nGrams: 2;Weighted Precision;0.912998;0
Boston;Chicago4Classes;0;+TYPES, nGrams: 2;Weighted Recall;0.911051;0
Boston;Chicago4Classes;0;+TYPES, nGrams: 2;Weighted F-Measure;0.909507;0
