Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Brisbane;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.875686;0
Boston;Brisbane;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.879026;0
Boston;Brisbane;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.875686;0
Boston;Brisbane;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.865970;0
Boston;Seattle;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.759165;0
Boston;Seattle;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.761365;0
Boston;Seattle;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.759165;0
Boston;Seattle;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.744839;0
Boston;SanFrancisco;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.868649;0
Boston;SanFrancisco;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.863392;0
Boston;SanFrancisco;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.868649;0
Boston;SanFrancisco;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.862874;0
Boston;NYC;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.864766;0
Boston;NYC;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.860190;0
Boston;NYC;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.864766;0
Boston;NYC;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.855233;0
Boston;Dublin;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.937407;0
Boston;Dublin;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.932073;0
Boston;Dublin;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.937407;0
Boston;Dublin;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.932857;0
Boston;Chicago;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.916846;0
Boston;Chicago;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.914465;0
Boston;Chicago;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.916846;0
Boston;Chicago;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.914026;0
Boston;Memphis;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.816636;0
Boston;Memphis;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.817084;0
Boston;Memphis;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.816636;0
Boston;Memphis;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.809171;0
Boston;London;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.847997;0
Boston;London;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.838251;0
Boston;London;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.847997;0
Boston;London;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.810609;0
Boston;Sydney;NaiveBayes;+ALL, nGrams: 2;Percent Correct;0.841365;0
Boston;Sydney;NaiveBayes;+ALL, nGrams: 2;Weighted Precision;0.849807;0
Boston;Sydney;NaiveBayes;+ALL, nGrams: 2;Weighted Recall;0.841365;0
Boston;Sydney;NaiveBayes;+ALL, nGrams: 2;Weighted F-Measure;0.826791;0
Boston;Brisbane;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.870043;0
Boston;Brisbane;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.874591;0
Boston;Brisbane;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.870043;0
Boston;Brisbane;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.857598;0
Boston;Seattle;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.761252;0
Boston;Seattle;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.761050;0
Boston;Seattle;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.761252;0
Boston;Seattle;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.747482;0
Boston;SanFrancisco;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.859054;0
Boston;SanFrancisco;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.850494;0
Boston;SanFrancisco;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.859054;0
Boston;SanFrancisco;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.851236;0
Boston;NYC;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.852394;0
Boston;NYC;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.842940;0
Boston;NYC;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.852394;0
Boston;NYC;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.836469;0
Boston;Dublin;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.940746;0
Boston;Dublin;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.933535;0
Boston;Dublin;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.940746;0
Boston;Dublin;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.934452;0
Boston;Chicago;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.910243;0
Boston;Chicago;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.905205;0
Boston;Chicago;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.910243;0
Boston;Chicago;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.904414;0
Boston;Memphis;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.813309;0
Boston;Memphis;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.812714;0
Boston;Memphis;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.813309;0
Boston;Memphis;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.804579;0
Boston;London;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.856342;0
Boston;London;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.855314;0
Boston;London;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.856342;0
Boston;London;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.821564;0
Boston;Sydney;NaiveBayes;+CAT, nGrams: 2;Percent Correct;0.832571;0
Boston;Sydney;NaiveBayes;+CAT, nGrams: 2;Weighted Precision;0.845374;0
Boston;Sydney;NaiveBayes;+CAT, nGrams: 2;Weighted Recall;0.832571;0
Boston;Sydney;NaiveBayes;+CAT, nGrams: 2;Weighted F-Measure;0.813730;0
Boston;Brisbane;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.887824;0
Boston;Brisbane;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.892241;0
Boston;Brisbane;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.887824;0
Boston;Brisbane;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.879102;0
Boston;Seattle;NaiveBayes;+LOC, nGrams: 2;Percent Correct;0.806534;0
Boston;Seattle;NaiveBayes;+LOC, nGrams: 2;Weighted Precision;0.808018;0
Boston;Seattle;NaiveBayes;+LOC, nGrams: 2;Weighted Recall;0.806534;0
Boston;Seattle;NaiveBayes;+LOC, nGrams: 2;Weighted F-Measure;0.800833;0
